Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,lat,lon,captial
Haiti,145,3.6029999256,3.7347147977,3.4712850535,0.3686102629,0.6404498219,0.27732113,0.0303698573,0.4892037809,0.0998721495,1.697167635,#N/A,#N/A,#N/A
Yemen,146,3.5929999352,3.6927503198,3.4932495505,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.1041252092,0.0567674227,1.345600605,#N/A,#N/A,#N/A
South Sudan,147,3.5910000801,3.7255385858,3.4564615744,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.2856708169,0.1167935133,1.8795673847,#N/A,#N/A,#N/A
Liberia,148,3.5329999924,3.6537562609,3.4122437239,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.2665498853,0.0389482491,1.6732859612,#N/A,#N/A,#N/A
Guinea,149,3.5069999695,3.5844281289,3.4295718101,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.2648150921,0.1109376177,1.5523118973,#N/A,#N/A,#N/A
Togo,150,3.4949998856,3.5940381117,3.3959616594,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.1968961507,0.0956650153,1.8372292519,6.09,1.2,Lome
Rwanda,151,3.4709999561,3.5430302335,3.3989696787,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.2527560294,0.4552200139,0.5400612354,#N/A,#N/A,#N/A
Syria,152,3.4619998932,3.6636685568,3.2603312296,0.7771531343,0.3961026073,0.5005333424,0.0815394446,0.4936637282,0.1513471305,1.0615735054,#N/A,#N/A,#N/A
Tanzania,153,3.3489999771,3.4614297554,3.2365701988,0.5111358762,1.0419898033,0.3645092845,0.3900177777,0.3542563617,0.0660351068,0.6211304665,#N/A,#N/A,#N/A
Burundi,154,2.9049999714,3.074690333,2.7353096098,0.0916225687,0.6297935843,0.1516107917,0.0599007532,0.2044351846,0.084147945,1.683024168,#N/A,#N/A,#N/A
Central African Republic,155,2.6930000782,2.8648842692,2.5211158872,0,0,0.0187726859,0.2708420455,0.2808764875,0.0565650761,2.0660047531,#N/A,#N/A,#N/A
